date,ticker,sentiment_mean,sentiment_std,news_count,confidence_mean,positive_count,negative_count,neutral_count,corporate_adjustment_mean,total_corporate_events,news_with_corporate_events,positive_ratio,negative_ratio,corporate_events_ratio,sentiment_ma_3,sentiment_ma_7,sentiment_ma_14,sentiment_momentum,sentiment_volatility,corporate_events_ma_7
2020-01-16,AFLT,0.0489717572927475,0.0,1,0.9099392294883728,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0489717572927475,0.0489717572927475,0.0489717572927475,0.0,0.0,0.0
2020-01-18,AFLT,0.12991360388696194,0.0,1,0.8225197196006775,0,0,1,0.0,0,0,0.0,0.0,0.0,0.08944268058985472,0.08944268058985472,0.08944268058985472,0.04047092329710722,0.05723452860853029,0.0
2020-01-25,AFLT,0.2343520876020193,0.0,1,0.7209906578063965,1,0,0,0.0,0,0,1.0,0.0,0.0,0.13774581626057625,0.13774581626057625,0.13774581626057625,0.09660627134144306,0.0929380136402362,0.0
2020-01-28,AFLT,0.12754750810563564,0.008855458535555753,2,0.829814612865448,0,0,2,0.0,0,0,0.0,0.0,0.0,0.16393773319820562,0.1351962392218411,0.1351962392218411,-0.03639022509256998,0.07605470153274069,0.0
2020-01-29,AFLT,0.10908572003245354,0.018595144794681488,3,0.8488263090451559,0,0,3,0.0,0,0,0.0,0.0,0.0,0.15699510524670282,0.12997413538396357,0.12997413538396357,-0.047909385214249284,0.06689237670612082,0.0
2020-01-31,AFLT,0.2468405564626058,0.08306366981757417,3,0.7069699764251709,3,0,0,0.0,0,0,1.0,0.0,0.0,0.16115792820023167,0.14945187223040396,0.14945187223040396,0.08568262826237413,0.07652428010161184,0.0
2020-02-01,AFLT,0.13175785914063454,0.0,1,0.8233395218849182,0,0,1,0.0,0,0,0.0,0.0,0.0,0.1625613785452313,0.1469241560747226,0.1469241560747226,-0.030803519404596774,0.07017618290396538,0.0
2020-02-04,AFLT,0.16013501677662134,0.02544328458313042,2,0.794338196516037,1,0,1,0.0,0,0,0.5,0.0,0.0,0.17957781079328725,0.16280462171527602,0.14857551366245994,-0.019442794016665904,0.055321349062306145,0.0
2020-02-06,AFLT,0.12468947470188141,0.0,1,0.8272073268890381,0,0,1,0.0,0,0,0.0,0.0,0.0,0.13886078353971243,0.1620583175459788,0.14592150933350678,-0.01417130883783102,0.05587151415095108,0.0
2020-02-07,AFLT,0.13832969777286053,0.02767819893367252,2,0.8145003914833069,1,0,1,0.0,0,0,0.5,0.0,0.0,0.14105139641712108,0.14834083328467038,0.14516232817744215,-0.002721698644260556,0.04609632875353961,0.0
2020-02-11,AFLT,0.12019615806639194,0.11845904404784824,2,0.8412211239337921,1,0,1,0.0,0,0,0.5,0.0,0.0,0.1277384435137113,0.14729064042192128,0.14289267634916486,-0.007542285447319358,0.04672841602124081,0.0
2020-02-12,AFLT,0.14438415318727493,0.0,1,0.8083000779151917,0,0,1,0.0,0,0,0.0,0.0,0.0,0.1343033363421758,0.15233327372975292,0.14301696608567402,0.010080816845099122,0.043726620142394854,0.0
2020-02-19,AFLT,0.2556415405124426,0.0,1,0.6937877535820007,1,0,0,0.0,0,0,1.0,0.0,0.0,0.1734072839220365,0.1535905571654439,0.15168039488773316,0.08223425659040609,0.04690772860822279,0.0
2020-02-27,AFLT,0.21671211379269759,0.14932356402107416,3,0.8071491122245789,2,0,1,0.06999999999999999,1,1,0.6666666666666666,0.0,0.3333333333333333,0.20557926916413838,0.16572687925859575,0.15632551766665917,0.011132844628559208,0.051118558321905115,1.0
2020-02-28,AFLT,0.15043354965746403,0.024590576762601297,3,0.7997938791910807,1,0,2,0.0,0,0,0.3333333333333333,0.0,0.0,0.20759573465420142,0.16434095538443041,0.16357278854985322,-0.05716218499673739,0.05142602055191639,1.0
2020-02-29,AFLT,0.813869132772088,0.0,1,0.7626797556877136,1,0,0,0.63,3,1,1.0,0.0,1.0,0.3936715987407499,0.2627951922516028,0.21242675489879081,0.42019753403133814,0.24776661381878767,4.0
2020-03-04,AFLT,0.2769056910462677,0.21857985227816196,4,0.8377433270215988,2,0,2,0.1575,3,2,0.5,0.0,0.5,0.41373612449193997,0.2825917627192324,0.2154662980019514,-0.13683043344567225,0.24162432513573878,7.0
2020-03-05,AFLT,0.29194561704993244,0.26846476309746586,3,0.7986421783765157,1,0,2,0.13999999999999999,2,1,0.3333333333333333,0.0,0.3333333333333333,0.46090681362276276,0.307127399716881,0.2272090200694012,-0.16896119657283032,0.23086614692786916,9.0
2020-03-06,AFLT,0.2288849027827382,0.0655320866761693,2,0.7209701240062714,2,0,0,0.0,0,0,1.0,0.0,0.0,0.2659120702929794,0.3191989353733758,0.23576610455156438,-0.03702716751024121,0.22301402684124072,9.0
2020-03-07,AFLT,0.15204827953130007,0.07101063434191095,2,0.8043186664581299,1,0,1,0.0,0,0,0.5,0.0,0.0,0.22429293312132356,0.30439989809035545,0.22899522762789967,-0.0722446535900235,0.2312207660019142,9.0
2020-03-11,AFLT,0.13899768143892288,0.0,1,0.8106297254562378,0,0,1,0.0,0,0,0.0,0.0,0.0,0.1733102879176537,0.2932978363255305,0.2295123577920631,-0.03431260647873083,0.23790201453302742,8.0
2020-03-12,AFLT,0.10757962241768837,0.10851387084150922,2,0.8524446487426758,1,0,1,0.0,0,0,0.5,0.0,0.0,0.1328751944626371,0.2871758467198483,0.22575840105213935,-0.025295572044948728,0.24269422132526344,8.0
2020-03-13,AFLT,0.16229161247611046,0.019368506880014694,3,0.7865579724311829,2,0,1,0.0,0,0,0.6666666666666666,0.0,0.0,0.1362896387775739,0.19409334382042287,0.22844426803601284,0.026001973698536546,0.07181306561256029,5.0
2020-03-17,AFLT,0.1910308226943016,0.0,1,0.7666207551956177,1,0,0,0.0,0,0,1.0,0.0,0.0,0.15363401919603348,0.18182550548442772,0.23220863410183007,0.03739680349826813,0.061968666190490435,2.0
2020-03-18,AFLT,0.13590429164469242,0.0,1,0.8145049214363098,0,0,1,0.0,0,0,0.0,0.0,0.0,0.16307557560503483,0.15953388756939343,0.23333064364313724,-0.027171283960342407,0.03988441391696128,0.0
2020-03-21,AFLT,0.1497557545080781,0.009041322186221749,2,0.7986376881599426,1,0,1,0.0,0,0,0.5,0.0,0.0,0.15889695628235737,0.14822972353015626,0.23371432945176604,-0.009141201774279267,0.02561301278536073,0.0
2020-03-24,AFLT,0.1704817364613215,0.09598621418842217,3,0.786188542842865,2,0,1,0.0,0,0,0.6666666666666666,0.0,0.0,0.152047260871364,0.15086307452015935,0.22763148630525737,0.018434475589957505,0.026982054193967927,0.0
2020-03-26,AFLT,0.13516820222139359,0.0,1,0.8223003149032593,0,0,1,0.0,0,0,0.0,0.0,0.0,0.1518018977302644,0.1503160060605123,0.2218069211930214,-0.01663369550887081,0.027299676333132777,0.0
2020-03-27,AFLT,0.08385547250509262,0.0,1,0.8755201697349548,0,0,1,0.0,0,0,0.0,0.0,0.0,0.12983513706260255,0.14692684178728435,0.2170513442535663,-0.04597966455750993,0.03411215071806238,0.0
